,Aguascalientes,Campeche,Ciudad de Mexico,Ciudad Victoria,Chetumal,Chihuahua,Chilpancingo,Colima,Cuernavaca,Culiacan,Durango,Guadalajara,Guanajuato,Hermosillo,La Paz,Mexicali,Monterrey,Morelia,Merida,Oaxaca,Pachuca,Puebla,Queretaro,Saltillo,San Luis Potosi­,Tepic,Tlaxcala,Toluca,Tuxtla Gutierrez,Villahermosa,Xalapa,Zacatecas
Aguascalientes,0.0,5048.1199492385795,1656.053807106599,1126.4979137055839,5150.608857868021,2615.2433299492386,2391.7751218274116,1626.7622741116752,1819.0933908629443,3754.6908172588837,826.2017918781726,962.336111675127,650.4038680203046,5442.203279187817,10018.927147208122,6817.6630964467,1481.9405279187818,1107.3935532994924,5320.8027969543145,3015.0871015228427,1612.299538071066,2112.4431624365484,987.8692639593909,859.8985177664975,439.15344162436554,1705.3416142131978,2131.204456852792,1760.8386040609137,4464.42423857868,4132.894624365482,2958.3837106598985,250.4873502538071
Campeche,5048.1199492385795,0.0,3361.613411167513,3910.6805329949243,656.0062538071066,7123.512654822335,3898.9937360406093,6180.0268324873105,3349.9642081218276,8307.942588832488,5334.471116751269,5515.041670050761,4495.8078629441625,9995.45505076142,14577.772299492386,11370.914868020303,5476.13128426396,4525.567411167513,277.01419289340106,3441.28838071066,3436.45445177665,2949.1654111675125,4061.927685279188,5342.955274111675,4432.797984771574,6258.593385786802,2997.521954314721,3579.513375634518,1469.6680000000001,914.6663248730965,2653.4260507614213,5298.594512690355
Ciudad de Mexico,1656.053807106599,3361.613411167513,0.0,1728.0763147208122,3464.1023197969544,3731.446512690355,873.5389441624366,2793.55069035533,300.85721319796954,4848.435446700508,1942.4049746192893,2056.093527918782,1103.7545076142133,6536.5069086294425,11186.836944162436,7979.407725888325,2084.0779289340103,1066.060269035533,3634.296258883249,1328.593350253807,231.40451776649746,425.9494111675127,669.8615431472081,1950.901918781726,1040.731842639594,2799.658030456853,457.1633604060914,232.5524263959391,2777.9177005076144,2446.388086294416,1271.889959390863,1907.0873705583756
Ciudad Victoria,1126.4979137055839,3910.6805329949243,1728.0763147208122,0.0,4013.1694416243654,2871.947680203046,2463.7976294416244,2589.8800862944163,1891.1158984771575,4712.7648426395945,1516.9356497461927,1920.4229238578682,1026.43776142132,6048.123233502538,8497.804746192895,5290.388314720813,536.7133857868021,1528.1914467005079,4178.89138071066,3087.1096091370555,1694.888162436548,2184.4656700507617,1018.6292335025381,652.6479187817259,615.2625177664975,2663.9874263959396,1609.2086649746193,1469.1963096446698,3326.9848223350255,2996.0142081218273,1378.0299492385789,941.208421319797
Chetumal,5150.608857868021,656.0062538071066,3464.1023197969544,4013.1694416243654,0.0,7226.001563451776,4000.923644670051,6287.546741116752,3452.453116751269,8410.431497461928,5436.96002538071,5631.635964467005,4598.296771573605,10097.943959390863,14680.261208121829,11473.403776649746,5631.102233502537,4628.056319796954,669.5151421319797,3543.7772893401016,3538.9433604060914,3051.0953197969548,4163.8575939086295,5445.444182741117,4535.286893401016,6361.082294416245,3100.010862944163,3696.1076700507615,1571.5979086294417,1017.1680203045686,2755.9149593908633,5401.083421319798
Chihuahua,2615.2433299492386,7123.512654822335,3731.446512690355,2871.947680203046,7226.001563451776,0.0,5007.01845177665,4247.036604060914,3894.4860964467007,4238.754375634518,2451.9535177664975,3577.5794416243657,3266.206197969543,1796.3557512690354,5625.3108527918785,2418.4406345177667,2347.937375634518,3723.195883248731,7396.195502538071,5090.479807106599,3698.2583604060915,4187.835868020305,3021.4404314720814,2219.29976142132,2690.1556700507613,4861.138512690355,4206.597162436548,3472.566507614213,6539.816944162437,6208.2873299492385,5034.335416243655,2364.2097664974617
Chilpancingo,2391.7751218274116,3898.9937360406093,873.5389441624366,2463.7976294416244,4000.923644670051,5007.01845177665,0.0,1727.510842639594,557.3375685279188,5431.97571573604,3217.9769137055837,2639.6337969543147,1839.4758223350257,7119.488177664975,11702.36442639594,8494.94799492386,2819.2402436548223,1541.13776142132,4171.676583756345,1865.4018883248732,1138.8429796954315,949.2693248730964,1405.0238578680203,2686.623233502538,1776.453157360406,3383.1855126903556,1011.6734923857867,783.0490710659898,3315.298025380711,2983.768411167513,1608.7943045685279,2642.2496852791883
Colima,1626.7622741116752,6180.0268324873105,2793.55069035533,2589.8800862944163,6287.546741116752,4247.036604060914,1727.510842639594,0.0,2736.145934010152,3458.1365076142133,2458.554065989848,679.2045634517766,1743.079878172589,5145.648969543147,9722.935218274113,6516.0777868020305,2945.8817005076144,1743.603197969543,6457.7406802030455,4152.024984771573,2760.362538071066,3249.3810456852793,1799.3304923857868,2807.6746903553303,1902.5484010152286,1408.787304568528,3268.1295532994923,2396.489248730965,5601.362121827411,5265.360507614214,4095.8805939086296,1882.826837563452
Cuernavaca,1819.0933908629443,3349.9642081218276,300.85721319796954,1891.1158984771575,3452.453116751269,3894.4860964467007,557.3375685279188,2736.145934010152,0.0,4859.03069035533,2105.4445583756346,2066.129771573604,1266.7940913705584,6546.543152284265,11128.860401015228,7922.002969543148,2247.1175126903554,1076.6555126903554,3622.647055837563,1316.9313604060915,565.6022487309644,400.8115837563452,832.3421269035533,2113.9415025380713,1203.7714263959392,2809.6814873096446,462.6439644670051,267.1419035532995,2766.268497461929,2434.738883248731,1267.9111472081217,2069.5679543147207
Culiacan,3754.6908172588837,8307.942588832488,4848.435446700508,4712.7648426395945,8410.431497461928,4238.754375634518,5431.97571573604,3458.1365076142133,4859.03069035533,0.0,1803.4842538071064,2802.1021065989844,3865.977421319797,1686.99769035533,6269.3149390862945,3062.4575076142137,3889.0825076142132,3865.928954314721,8580.625436548224,6274.909741116751,4882.688294416244,5372.265802030457,3921.462538071066,3707.9628527918785,4025.4331573604063,2051.42452284264,5391.01430964467,4519.374005076142,7724.246878172589,7392.717263959391,6017.743157360406,2377.320725888325
